mz,rt,mode
550.25,2.7,Negative
550.35,6.6,Negative
550.83,0.3,Negative
552.2,0.4,Negative
552.84,9.1,Negative
553.28,6.8,Negative
553.49,9.8,Negative
553.84,11.3,Negative
553.99,3.2,Negative
554.15,0.4,Negative
554.29,6.8,Negative
554.5,9.8,Negative
555.28,6.8,Negative
555.48,9.8,Negative
556.14,0.4,Negative
556.29,6.8,Negative
556.93,11.9,Negative
557.16,9.4,Negative
557.32,7.6,Negative
557.28,6.8,Negative
558.12,5.6,Negative
561.22,11.9,Negative
562.9,11.9,Negative
563.3,5.7,Negative
563.54,10,Negative
564.34,7.7,Negative
564.54,9.9,Negative
564.83,0.3,Negative
565.34,7.7,Negative
566.9,11.9,Negative
567.24,5.7,Negative
567.49,9.9,Negative
567.89,11.3,Negative
568.83,12,Negative
569.26,6.8,Negative
570.04,3.2,Negative
570.16,0.4,Negative
570.26,6.8,Negative
570.83,12,Negative
571.5,9.9,Negative
571.92,11.9,Negative
572.14,0.4,Negative
572.29,2.5,Negative
572.5,9.9,Negative
572.93,11.9,Negative
573.33,10.6,Negative
573.5,9.9,Negative
573.95,11.9,Negative
574.33,10.6,Negative
574.49,9.9,Negative
575.31,10.6,Negative
575.48,9.9,Negative
578.14,0.5,Negative
578.87,11.9,Negative
579.19,10,Negative
579.88,12,Negative
580.87,12,Negative
581.52,9.9,Negative
582.16,0.4,Negative
582.53,9.9,Negative
583.53,9.9,Negative
584.16,0.4,Negative
584.53,9.9,Negative
585.37,7.9,Negative
585.52,9.9,Negative
585.5,8.4,Negative
587.36,10.1,Negative
588.15,0.4,Negative
588.37,10.1,Negative
588.9,11.9,Negative
589.36,10.1,Negative
589.91,11.9,Negative
590.37,10.1,Negative
590.9,11.9,Negative
591.4,10.1,Negative
592.37,10.1,Negative
593.15,11.9,Negative
593.37,10.1,Negative
594.38,10.1,Negative
595.38,10.1,Negative
595.86,12,Negative
596.38,10.1,Negative
597.38,7.9,Negative
597.39,10.1,Negative
598.15,0.4,Negative
598.51,9.9,Negative
598.98,3.2,Negative
599.53,10,Negative
600.01,3.2,Negative
600.15,0.4,Negative
600.53,10,Negative
600.87,0.3,Negative
601.52,10,Negative
602.52,10,Negative
603.5,10,Negative
605.91,12,Negative
606.54,10,Negative
607.53,9.9,Negative
608.53,9.9,Negative
609.37,7.8,Negative
609.56,10,Negative
610.56,10,Negative
611.35,10.1,Negative
611.37,7.8,Negative
612.35,10.1,Negative
613.4,8.3,Negative
613.35,10.1,Negative
614.15,0.4,Negative
614.9,11.9,Negative
616.85,0.3,Negative
617.36,10.6,Negative
618.36,10.6,Negative
618.85,0.3,Negative
619.36,10.6,Negative
620.82,0.3,Negative
620.82,9.1,Negative
621.27,6.8,Negative
622.27,6.8,Negative
622.81,0.3,Negative
623.26,6.8,Negative
623.54,9.8,Negative
623.92,11.8,Negative
624.54,9.9,Negative
624.93,11.9,Negative
625.32,10.1,Negative
626.54,10,Negative
627.55,10,Negative
628.54,10.1,Negative
629.22,11.8,Negative
629.54,10,Negative
630.51,10.7,Negative
630.89,11.9,Negative
631.53,9.9,Negative
631.52,10.7,Negative
632.9,11.9,Negative
633.21,6.8,Negative
634.21,6.8,Negative
634.81,0.3,Negative
634.89,12,Negative
635.2,6.8,Negative
635.56,10,Negative
635.89,12,Negative
636.2,6.8,Negative
636.82,12,Negative
637.23,6.8,Negative
637.59,10.1,Negative
638.59,10.1,Negative
639.58,10,Negative
639.91,11.9,Negative
640.58,10,Negative
640.62,8.7,Negative
640.93,11.9,Negative
641.34,8,Negative
641.35,10.1,Negative
641.56,8.7,Negative
641.94,11.9,Negative
642.34,8,Negative
645.4,10.1,Negative
646.41,10.1,Negative
646.43,8.4,Negative
646.86,11.9,Negative
646.86,0.3,Negative
647.4,10.1,Negative
647.86,12,Negative
648.19,6.8,Negative
648.86,12,Negative
648.9,3.2,Negative
649.83,0.3,Negative
651.55,9.9,Negative
653.21,6.8,Negative
653.3,10.1,Negative
