ID,log2FC,FDR,label
ENSMUSG00000015766,-5.37E-01,6.73E-01,
ENSMUSG00000015837,1.14E+00,1.12E-01,
ENSMUSG00000015889,-1.47E+00,2.91E-01,
ENSMUSG00000015942,-8.98E-01,1.31E-01,
ENSMUSG00000015944,5.93E-01,5.34E-01,
ENSMUSG00000016346,3.76E-01,4.27E-03,
ENSMUSG00000016356,-5.04E-01,4.74E-02,
ENSMUSG00000016487,-2.10E+00,2.83E-01,
ENSMUSG00000016496,4.79E-01,1.06E-01,
ENSMUSG00000016520,4.37E-01,2.35E-01,
ENSMUSG00000016526,-1.39E+00,1.08E-02,
ENSMUSG00000016552,-9.89E-01,1.79E-01,
ENSMUSG00000016559,-5.14E-01,7.44E-01,
ENSMUSG00000016942,-5.10E-01,4.61E-01,
ENSMUSG00000017119,6.20E-01,4.86E-04,
ENSMUSG00000017146,-2.29E-01,8.81E-01,
ENSMUSG00000017167,1.10E+00,9.32E-06,
ENSMUSG00000017176,9.81E-01,4.68E-01,
ENSMUSG00000017221,4.20E-01,3.02E-02,
ENSMUSG00000017291,-8.78E-01,4.13E-01,
ENSMUSG00000017376,9.46E-02,9.53E-01,
ENSMUSG00000017386,3.84E-01,5.77E-01,
ENSMUSG00000017405,3.28E-01,6.28E-01,
ENSMUSG00000017417,-1.65E-01,8.90E-01,
ENSMUSG00000017418,-2.21E-03,9.95E-01,
ENSMUSG00000017428,4.89E-01,2.13E-02,
ENSMUSG00000017466,-1.39E+00,3.26E-01,
ENSMUSG00000017493,-7.17E-01,6.68E-01,
ENSMUSG00000017499,-5.32E-01,5.61E-01,
ENSMUSG00000017550,1.38E-01,9.48E-01,
ENSMUSG00000017607,-1.50E+00,9.28E-02,
ENSMUSG00000017686,-8.44E-02,8.66E-01,
ENSMUSG00000017707,-6.91E-02,9.23E-01,
ENSMUSG00000017713,-2.67E-01,4.54E-01,
ENSMUSG00000017718,2.56E-01,8.47E-01,
ENSMUSG00000017737,-7.14E-01,2.75E-01,
ENSMUSG00000017740,1.15E+00,1.71E-12,
ENSMUSG00000017756,1.76E-01,8.07E-01,
ENSMUSG00000017774,-3.18E-01,7.30E-01,
ENSMUSG00000017776,-6.55E-01,1.82E-01,
ENSMUSG00000017781,-4.17E-01,4.33E-01,
ENSMUSG00000017830,5.54E-01,5.51E-01,
ENSMUSG00000017837,-6.71E-01,6.27E-01,
ENSMUSG00000017843,-2.46E-01,8.37E-01,
ENSMUSG00000017950,-1.52E+00,5.86E-02,
ENSMUSG00000017969,-9.79E-01,3.46E-01,
ENSMUSG00000018012,4.02E-01,7.68E-01,
ENSMUSG00000018040,-2.73E-01,1.15E-02,
ENSMUSG00000018042,-4.43E-01,6.42E-01,
ENSMUSG00000018168,1.80E-01,9.26E-01,
ENSMUSG00000018196,-1.30E-01,9.34E-01,
ENSMUSG00000018209,-7.51E-01,3.51E-01,
ENSMUSG00000018287,-7.13E-01,5.52E-01,
ENSMUSG00000018293,-7.74E-01,2.20E-01,
ENSMUSG00000018378,-9.88E-01,2.92E-04,
ENSMUSG00000018381,-2.08E+00,2.34E-01,
ENSMUSG00000018387,3.98E-01,7.84E-01,
ENSMUSG00000018415,-1.37E+00,4.65E-01,
ENSMUSG00000018433,-1.40E-01,7.29E-01,
ENSMUSG00000018442,-2.22E-01,8.03E-01,
ENSMUSG00000018446,-1.09E+00,5.68E-01,
ENSMUSG00000018459,4.58E-01,7.21E-01,
ENSMUSG00000018559,-9.73E-01,1.48E-01,
ENSMUSG00000018566,-5.21E-01,3.05E-01,
ENSMUSG00000018570,-9.92E-01,5.85E-01,
ENSMUSG00000018583,1.27E+00,7.31E-11,
ENSMUSG00000018654,-1.08E+00,2.09E-02,
ENSMUSG00000018669,5.90E-01,5.05E-01,
ENSMUSG00000018677,-8.83E-01,2.87E-01,
ENSMUSG00000018707,8.93E-02,9.34E-01,
ENSMUSG00000018733,-5.70E+00,5.35E-88,
ENSMUSG00000018750,4.44E-01,5.62E-03,
ENSMUSG00000018752,1.68E+00,2.32E-01,
ENSMUSG00000018776,6.89E-01,3.01E-01,
ENSMUSG00000018820,-1.45E-02,9.90E-01,
ENSMUSG00000018822,1.18E-01,9.13E-01,
ENSMUSG00000018845,4.64E-01,3.50E-01,
ENSMUSG00000018882,5.02E-01,7.09E-01,
ENSMUSG00000018906,-5.08E-01,7.19E-01,
ENSMUSG00000018925,2.20E-01,5.62E-01,
ENSMUSG00000018931,-8.32E-01,2.85E-01,
ENSMUSG00000018974,-1.17E+00,4.32E-01,
ENSMUSG00000018983,-5.81E-01,5.59E-06,
ENSMUSG00000019027,5.84E-01,5.41E-01,
ENSMUSG00000019082,-1.48E+00,2.36E-24,
ENSMUSG00000019132,-7.82E-01,1.44E-01,
ENSMUSG00000019189,-1.07E+00,2.26E-04,
ENSMUSG00000019254,-5.82E-01,1.84E-01,
ENSMUSG00000019261,1.83E-01,2.26E-01,
ENSMUSG00000019302,-1.41E+00,3.57E-01,
ENSMUSG00000019320,9.60E-02,8.35E-01,
ENSMUSG00000019429,4.68E-01,2.81E-01,
ENSMUSG00000019461,-5.26E-01,6.46E-01,
ENSMUSG00000019489,8.24E-01,2.48E-01,
ENSMUSG00000019518,5.99E-01,2.09E-01,
ENSMUSG00000019590,-1.13E+00,5.26E-01,
ENSMUSG00000019734,-9.95E-01,5.22E-06,
ENSMUSG00000019789,-6.32E-01,7.27E-01,
ENSMUSG00000019797,-1.48E-01,9.37E-01,
ENSMUSG00000019834,7.01E-01,1.91E-02,
ENSMUSG00000019836,-1.54E-01,8.47E-01,
ENSMUSG00000019841,-7.45E-01,7.12E-01,
